Nombre,Precio Entera,Precio Media,Detalles
"40. Jamón serrano", 5.00, 4.00, "Ingredientes: . Alérgenos: "
"41. Jamón serrano con queso", 5.50, 4.50, "Ingredientes: . Alérgenos: "
"42. Jamón serrano con tomate y AOVE", 6.00, 5.00, "Ingredientes: . Alérgenos: "
"43. Chorizo", 4.20, 3.70, "Ingredientes: . Alérgenos: "
"44. Chorizo con queso", 4.50, 4.00, "Ingredientes: . Alérgenos: "
"45. Piquillo, atún, anchoa y vinagre de módena", 5.50, 5.00, "Ingredientes: . Alérgenos: "
"46. Vegetal", 5.50, 5.00, "Ingredientes: Huevo cocido, tomate, lechuga, cebolla, zanahoria, espárragos y queso. Alérgenos: "
"73. Atún y queso", 5.20, 4.20, "Ingredientes: . Alérgenos: "
