Nombre,Precio,Detalles
"20. Simple", 5.00, "Ingredientes: Lechuga, tomate y cebolla"
"21. Completa", 8.00, "Ingredientes: Lechuga, tomate, cebolla, espárragos, atún, huevo cocido y aceitunas"
"22. Barros", 9.00, "Ingredientes: Lechuga, tomate, cebolla, espárragos, zanahoria, atún, huevo cocido, queso y aceitunas"
"23. Riojana", 11.00, "Ingredientes: Lechuga, Pimiento de piquillo, atún, anchoas, aceitunas y vinagre de módena"
"24. Especial", 12.00, "Ingredientes: Tomate, aguacate, atún, salmón, pimiento de piquillo y huevo cocido"
