Nombre,Precio Pequeña,Precio Grande,Detalles
"301. Mixta", 9.00, 14.00, "Ingredientes: Tomate, mozarella y york. Alérgenos: "
"302. Bacon", 9.00, 14.00, "Ingredientes: Tomate, mozarella y bacon. Alérgenos: "
"303. Llorona", 9.50, 14.50, "Ingredientes: Tomate, mozarella, bacon y cebolla. Alérgenos: "
"304. Mediterranea", 11.00, 18.00, "Ingredientes: Tomate, mozarella, jamón serrano, aceitunas verdes, rodajas de tomate natural, philadelphia, oregano y AOVE. Alérgenos: "
"305. Barbacoa", 10.00, 15.50, "Ingredientes: Tomate, mozarella, bacon, york y salsa barbacoa. Alérgenos: "
"306. Barros", 11.00, 18.00, "Ingredientes: Tomate, mozarella, pollo y salsa de champiñones. Alérgenos: "
