Nombre,Precio,Detalles
"Tostada con mantequilla y mermelada", 2.20, "Ingredientes: Mantequilla, Mermelada. Alérgenos: "
"Tostada con AOVE y tomate", 2.20, "Ingredientes: Aceite de Oliva Virgen Extra, Tomate natural. Alérgenos: "
"Tostada AOVE, tomate y jamón", 3.50, "Ingredientes: Aceite de Oliva Virgen Extra, Tomate natural, Jamón serrano. Alérgenos: "
"Tostada de queso crema y york", 3.00, "Ingredientes: . Alérgenos: "
"Tostada de queso crema y salmón", 4.00, "Ingredientes: . Alérgenos: "
"Tostada de queso crema, nueces y miel", 3.50, "Ingredientes: . Alérgenos: "
"Tostada de aguacate, AOVE y tomate", 4.00, "Ingredientes: . Alérgenos: "
"Tostada de aguacate, AOVE, tomate y jamón", 4.50 "Ingredientes: . Alérgenos: "
"Tostada de tomate, huevos rotos y semillas", 4.00 "Ingredientes: . Alérgenos: "
